"STATISTIC","Statistic Label","TLIST(D1)","Day","C04132V04898","Network Gas Customer Type","UNIT","VALUE"
"NGSD02C01","Networked Gas Daily Demand","2018M02D04","2018 February 04","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","13.360242"
"NGSD02C01","Networked Gas Daily Demand","2018M02D04","2018 February 04","10","Power Plants","Gigawatt hours","92.527222"
"NGSD02C01","Networked Gas Daily Demand","2018M02D04","2018 February 04","-","All networked gas customers","Gigawatt hours","171.908459"
"NGSD02C01","Networked Gas Daily Demand","2018M02D05","2018 February 05","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","68.422714"
"NGSD02C01","Networked Gas Daily Demand","2018M02D05","2018 February 05","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","11.781268"
"NGSD02C01","Networked Gas Daily Demand","2018M02D05","2018 February 05","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.793977"
"NGSD02C01","Networked Gas Daily Demand","2018M02D05","2018 February 05","10","Power Plants","Gigawatt hours","100.791388"
"NGSD02C01","Networked Gas Daily Demand","2018M02D05","2018 February 05","-","All networked gas customers","Gigawatt hours","195.789347"
"NGSD02C01","Networked Gas Daily Demand","2018M02D06","2018 February 06","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","70.738646"
"NGSD02C01","Networked Gas Daily Demand","2018M02D06","2018 February 06","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","12.3621"
"NGSD02C01","Networked Gas Daily Demand","2018M02D06","2018 February 06","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","16.114144"
"NGSD02C01","Networked Gas Daily Demand","2018M02D06","2018 February 06","10","Power Plants","Gigawatt hours","92.428334"
"NGSD02C01","Networked Gas Daily Demand","2018M02D06","2018 February 06","-","All networked gas customers","Gigawatt hours","191.643224"
"NGSD02C01","Networked Gas Daily Demand","2018M02D07","2018 February 07","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","71.281237"
